"Region","World Bank Classification","HBV Status","Total Population (2020)","Adult Population (2020)","Diagnosed","Treated","Mortality (absolute)","Prevalence ≤5-year-olds","Birth Dose Vaccination","3 Dose Vaccination"
"Cameroon","Lower middle income","Verified","26,491,087","13,457,358","2%","<1%","1200%","1.6%","<1%","79%"
"Canada","High income","Verified","37,888,705","30,668,085","67%","23%","200%","0.0%","3%","56%"
"Cape Verde","Lower middle income","Extrapolated","582,640","393,583","<1%","<1%","1900%","0.7%","96%","97%"
"Central African Republic","Low income","Polaris Estimate","5,343,020","2,361,215","2%","<1%","2000%","6.5%","<1%","61%"
"Chad","Low income","Polaris Estimate","16,644,701","7,580,392","<1%","<1%","2200%","4.2%","<1%","81%"
"Chile","High income","Verified","19,300,315","14,981,552","7%","10%","<1%","0.0%","94%","96%"
"China Mainland","Upper middle income","Verified","1,424,929,781","1,120,581,001","22%","15%","3000%","0.1%","96%","99%"
"Colombia","Upper middle income","Verified","50,930,662","37,315,877","11%","3%","200%","0.0%","81%","94%"
"Comoros","Lower middle income","Extrapolated","806,166","447,750","7%","2%","800%","0.9%","<1%","91%"
"Congo, Republic of the","Lower middle income","Polaris Estimate","5,702,174","2,970,260","2%","<1%","1200%","2.0%","<1%","83%"
"Costa Rica","Upper middle income","Verified","5,123,105","3,831,976","18%","3%","<1%","0.0%","87%","98%"
"Croatia","High income","Verified","4,096,869","3,398,874","43%","8%","200%","0.0%","<1%","93%"
"Cuba","Upper middle income","Verified","11,300,698","9,126,088","7%","1%","300%","0.0%","99%","99%"
"Czechia","High income","Verified","10,530,953","8,558,176","21%","14%","100%","0.0%","<1%","97%"
"Denmark","High income","Verified","5,825,641","4,673,906","100%","23%","<1%","0.1%","<1%","<1%"
"Djibouti","Lower middle income","Polaris Estimate","1,090,156","681,079","7%","2%","800%","1.5%","95%","85%"
"Dominican Republic","Upper middle income","Polaris Estimate","10,999,664","7,373,435","9%","1%","600%","0.1%","81%","87%"
"DRC","Low income","Polaris Estimate","92,853,164","43,717,520","2%","<1%","500%","1.1%","<1%","95%"
"Ecuador","Upper middle income","Verified","17,588,595","11,991,459","8%","<1%","200%","0.1%","71%","85%"
"Egypt","Lower middle income","Verified","107,465,134","65,994,767","6%","8%","200%","0.1%","91%","95%"
"El Salvador","Lower middle income","Verified","6,292,731","4,300,259","5%","3%","400%","0.0%","76%","81%"
"Eritrea","Low income","Polaris Estimate","3,555,868","1,854,932","7%","<1%","800%","0.6%","<1%","95%"
"Estonia","High income","Verified","1,329,444","1,071,417","6%","7%","100%","0.0%","<1%","91%"
"Eswatini","Lower middle income","Extrapolated","1,180,655","687,724","14%","3%","1900%","1.5%","<1%","91%"
"Ethiopia","Low income","Verified","117,190,911","61,857,286","5%","<1%","900%","0.8%","<1%","96%"
"Fiji","Upper middle income","Verified","920,422","603,730","2%","<1%","1300%","0.3%","77%","85%"
"Finland","High income","Verified","5,529,468","4,484,144","85%","14%","<1%","0.0%","<1%","<1%"
"France","High income","Verified","64,480,053","50,820,214","53%","50%","<1%","0.0%","<1%","91%"
"Gabon","Upper middle income","Polaris Estimate","2,292,573","1,326,615","2%","<1%","1300%","2.1%","<1%","70%"
"Gambia","Low income","Polaris Estimate","2,573,995","1,267,718","<1%","<1%","400%","0.2%","35%","88%"
"Georgia","Upper middle income","Polaris Estimate","3,765,912","2,853,169","21%","<1%","600%","0.2%","94%","94%"
"Germany","High income","Verified","83,328,988","69,590,837","33%","31%","100%","0.0%","<1%","87%"
"Ghana","Lower middle income","Verified","32,180,401","18,077,097","<1%","<1%","1200%","1.4%","<1%","97%"
"Greece","High income","Verified","10,512,232","8,697,117","46%","49%","500%","0.0%","2%","96%"
"Guatemala","Upper middle income","Verified","17,362,718","10,414,756","10%","5%","200%","0.1%","48%","85%"
"Guinea","Low income","Extrapolated","13,205,153","6,764,673","<1%","<1%","1400%","3.6%","<1%","82%"
"Guinea-Bissau","Low income","Polaris Estimate","2,015,828","1,053,877","<1%","<1%","1300%","1.8%","<1%","78%"
"Guyana","Upper middle income","Polaris Estimate","797,202","523,045","11%","<1%","700%","0.1%","71%","99%"
"Haiti","Lower middle income","Polaris Estimate","11,306,801","6,927,107","6%","<1%","400%","0.5%","<1%","66%"
"Honduras","Lower middle income","Extrapolated","10,121,763","6,333,101","11%","4%","<1%","0.0%","78%","88%"
"Hong Kong","High income","Verified","7,500,958","6,424,681","54%","21%","2700%","0.1%","99%","99%"
"Hungary","High income","Polaris Estimate","9,750,573","8,042,598","4%","6%","100%","0.1%","<1%","<1%"
"India","Lower middle income","Verified","1,396,387,127","954,497,464","2%","<1%","600%","0.2%","74%","91%"
"Indonesia","Lower middle income","Verified","271,857,970","188,646,195","3%","<1%","2100%","2.3%","84%","85%"
"Iran","Lower middle income","Verified","87,290,193","62,941,063","26%","6%","700%","0.0%","95%","99%"
"Iraq","Upper middle income","Verified","42,556,984","23,480,228","<1%","8%","700%","0.6%","41%","84%"
"Ireland","High income","Polaris Estimate","4,946,119","3,753,640","57%","30%","<1%","0.0%","<1%","93%"
"Israel","High income","Verified","8,757,489","5,866,353","17%","4%","700%","0.1%","95%","96%"
"Italy","High income","Verified","59,500,579","50,143,521","30%","46%","200%","0.0%","<1%","95%"
"Jamaica","Upper middle income","Verified","2,820,436","2,094,605","1%","<1%","1300%","0.2%","<1%","96%"
"Japan","High income","Verified","125,244,761","106,975,887","61%","47%","400%","0.0%","<1%","99%"
"Jordan","Upper middle income","Verified","10,928,721","6,677,790","1%","2%","500%","0.1%","2%","89%"
"Kazakhstan","Upper middle income","Verified","18,979,243","12,652,853","12%","3%","700%","0.2%","93%","97%"
"Kenya","Lower middle income","Verified","51,985,780","28,130,748","<1%","<1%","700%","0.9%","<1%","86%"
"Kiribati","Lower middle income","Verified","126,463","74,075","<1%","<1%","3600%","2.2%","99%","94%"
"Korea, Democratic People's Republic of","Low income","Verified","25,867,467","19,911,399","9%","<1%","2200%","0.5%","99%","97%"
"Korea, Republic of","High income","Verified","51,844,690","44,136,393","79%","56%","2100%","0.1%","92%","98%"
"Kosovo","Upper middle income","Polaris Estimate","1,670,698","1,200,208","22%","6%","800%","0.0%","99%","99%"
"Kuwait","High income","Verified","4,360,444","3,299,807","11%","8%","800%","0.0%","93%","99%"
"Kyrgyzstan","Lower middle income","Verified","6,424,874","3,903,461","15%","1%","1800%","0.3%","96%","95%"
"Laos","Lower middle income","Verified","7,319,399","4,590,942","4%","<1%","600%","0.6%","66%","92%"
"Lebanon","Lower middle income","Verified","5,662,923","3,783,180","9%","4%","400%","0.1%","98%","93%"
"Lesotho","Lower middle income","Extrapolated","2,254,100","1,344,382","14%","<1%","2100%","2.6%","<1%","94%"
"Liberia","Low income","Polaris Estimate","5,087,584","2,629,974","<1%","<1%","600%","0.9%","<1%","87%"
"Libya","Upper middle income","Polaris Estimate","6,653,942","4,317,637","11%","8%","600%","0.2%","<1%","97%"
"Lithuania","High income","Extrapolated","2,820,267","2,318,928","19%","2%","1200%","0.1%","97%","92%"
"Madagascar","Low income","Polaris Estimate","28,225,177","15,161,988","<1%","2%","600%","0.5%","<1%","95%"
"Malawi","Low income","Polaris Estimate","19,377,061","9,493,903","7%","2%","300%","0.5%","<1%","95%"
"Malaysia","Upper middle income","Verified","33,199,993","23,861,690","5%","2%","1100%","0.1%","99%","97%"
"Mali","Low income","Polaris Estimate","21,224,040","9,659,539","4%","<1%","900%","2.7%","<1%","71%"
"Malta","High income","Extrapolated","515,358","434,644","31%","30%","200%","0.0%","<1%","97%"
"Marshall Islands","Upper middle income","Polaris Estimate","43,413","0","50%","<1%","1700%","1.1%","87%","82%"
"Mauritania","Lower middle income","Polaris Estimate","4,498,604","2,290,249","<1%","<1%","1400%","1.9%","<1%","89%"
"Mexico","Upper middle income","Verified","125,998,302","87,519,062","11%","3%","<1%","0.0%","68%","56%"
"Micronesia, Federated States of","Lower middle income","Polaris Estimate","112,106","70,042","6%","<1%","3300%","1.1%","70%","84%"
"Moldova","Upper middle income","Polaris Estimate","3,084,847","2,378,099","7%","<1%","6300%","0.8%","93%","94%"
"Mongolia","Lower middle income","Verified","3,294,335","2,102,054","10%","6%","1800%","0.4%","98%","98%"
"Morocco","Lower middle income","Verified","36,688,772","24,945,506","39%","13%","100%","0.0%","42%","99%"
"Mozambique","Low income","Verified","31,178,239","15,398,216","11%","16%","600%","0.9%","<1%","95%"
"Myanmar","Lower middle income","Verified","53,423,198","37,226,310","<1%","<1%","1600%","0.8%","17%","90%"
"Nepal","Lower middle income","Verified","29,348,627","18,585,170","8%","1%","100%","0.2%","<1%","93%"
"Netherlands","High income","Verified","17,434,557","14,108,427","56%","40%","100%","0.0%","<1%","92%"
"New Zealand","High income","Verified","5,061,133","3,908,158","65%","13%","1200%","0.0%","1%","92%"
"Nicaragua","Lower middle income","Polaris Estimate","6,755,895","4,311,289","7%","1%","200%","0.1%","<1%","99%"
"Niger","Low income","Polaris Estimate","24,333,639","10,785,425","<1%","<1%","1800%","3.4%","<1%","81%"
"Nigeria","Lower middle income","Verified","208,327,405","103,880,784","<1%","<1%","700%","4.1%","19%","57%"
"North Macedonia","Upper middle income","Extrapolated","2,111,072","1,696,440","22%","6%","600%","0.1%","98%","92%"
"Norway","High income","Polaris Estimate","5,379,839","4,264,591","85%","30%","<1%","0.0%","<1%","96%"
"Oman","High income","Verified","4,543,399","3,226,233","8%","2%","300%","0.1%","99%","99%"
"Pakistan","Lower middle income","Verified","227,196,741","127,575,159","22%","12%","400%","0.2%","<1%","81%"
"Palestine","Lower middle income","Polaris Estimate","5,019,401","2,715,436","37%","8%","400%","0.0%","99%","99%"
"Panama","High income","Extrapolated","4,294,396","2,934,168","27%","3%","<1%","0.0%","85%","88%"
"Papua New Guinea","Lower middle income","Polaris Estimate","9,749,640","5,738,193","5%","<1%","2300%","2.9%","21%","40%"
"Paraguay","Upper middle income","Extrapolated","6,618,695","4,325,789","14%","<1%","100%","0.1%","<1%","74%"
"Peru","Upper middle income","Verified","33,304,756","22,698,846","15%","5%","100%","0.1%","82%","88%"
"Philippines","Lower middle income","Verified","112,190,977","71,026,728","9%","<1%","1500%","1.0%","60%","71%"
"Poland","High income","Verified","38,428,366","31,459,542","57%","9%","300%","0.0%","93%","91%"
"Portugal","High income","Verified","10,298,192","8,588,826","7%","5%","700%","0.0%","97%","98%"
"Qatar","High income","Verified","2,760,385","2,284,933","24%","10%","200%","0.1%","98%","98%"
"Romania","High income","Verified","19,442,038","15,711,479","13%","6%","1500%","0.1%","99%","90%"
"Russia","Upper middle income","Verified","145,617,329","115,437,729","29%","<1%","600%","0.0%","97%","97%"
"Rwanda","Low income","Polaris Estimate","13,146,362","7,077,315","36%","<1%","400%","0.3%","<1%","98%"
"São Tomé and Príncipe","Lower middle income","Extrapolated","218,641","114,729","2%","2%","1600%","0.8%","95%","95%"
"Samoa","Lower middle income","Polaris Estimate","214,929","120,714","1%","<1%","2600%","1.0%","78%","68%"
"Saudi Arabia","High income","Verified","35,997,107","24,976,607","9%","4%","600%","0.0%","96%","97%"
"Senegal","Lower middle income","Polaris Estimate","16,436,120","8,438,851","1%","<1%","900%","0.6%","81%","99%"
"Serbia","Upper middle income","Extrapolated","7,358,005","6,092,008","22%","6%","600%","0.1%","99%","94%"
"Sierra Leone","Low income","Polaris Estimate","8,233,970","4,403,714","<1%","<1%","900%","1.0%","<1%","95%"
"Singapore","High income","Polaris Estimate","5,909,869","5,041,644","1%","52%","1600%","0.1%","91%","96%"
"Slovakia","High income","Verified","5,456,681","4,434,144","16%","8%","200%","0.0%","<1%","97%"
"Slovenia","High income","Verified","2,117,641","1,738,949","29%","36%","100%","0.3%","<1%","<1%"
"Solomon Islands","Lower middle income","Polaris Estimate","691,191","374,390","6%","<1%","3400%","1.9%","66%","94%"
"Somalia","Low income","Polaris Estimate","16,537,016","7,594,865","7%","2%","600%","1.8%","<1%","77%"
"South Africa","Upper middle income","Verified","58,801,927","39,094,388","20%","<1%","1700%","1.2%","1%","85%"
"South Sudan","Low income","Extrapolated","10,606,227","4,982,730","7%","2%","700%","3.4%","<1%","50%"
"Spain","High income","Verified","47,363,807","39,079,800","18%","19%","200%","0.0%","<1%","96%"
"Sri Lanka","Lower middle income","Verified","21,715,079","15,538,710","7%","<1%","800%","0.3%","<1%","99%"
"Sudan","Low income","Polaris Estimate","44,440,486","23,383,547","11%","8%","700%","0.8%","<1%","93%"
"Suriname","Upper middle income","Verified","607,065","411,433","9%","<1%","500%","0.2%","91%","91%"
"Sweden","High income","Verified","10,368,969","8,178,450","62%","33%","100%","0.0%","<1%","97%"
"Switzerland","High income","Verified","8,638,613","7,089,252","57%","17%","200%","0.0%","<1%","69%"
"Syria","Low income","Polaris Estimate","20,772,595","12,014,566","11%","8%","1300%","3.9%","71%","73%"
"Türkiye","Upper middle income","Verified","84,135,428","60,448,118","13%","14%","800%","0.1%","99%","99%"
"Taiwan","High income","Verified","23,821,464","20,098,295","65%","20%","5000%","0.2%","93%","98%"
"Tajikistan","Lower middle income","Verified","9,543,207","5,524,869","5%","3%","1600%","0.2%","99%","97%"
"Tanzania","Lower middle income","Verified","61,704,518","30,437,189","4%","<1%","400%","0.5%","<1%","98%"
"Thailand","Upper middle income","Verified","71,475,664","57,520,951","10%","2%","1700%","0.1%","99%","97%"
"Timor-Leste","Lower middle income","Extrapolated","1,299,995","737,734","10%","<1%","1800%","1.7%","70%","90%"
"Togo","Low income","Polaris Estimate","8,442,580","4,481,651","1%","<1%","1400%","1.8%","<1%","91%"
"Tonga","Upper middle income","Extrapolated","105,254","61,442","26%","<1%","4700%","1.0%","99%","99%"
"Trinidad and Tobago","High income","Extrapolated","1,518,147","1,163,441","5%","3%","800%","0.1%","<1%","93%"
"Tunisia","Lower middle income","Polaris Estimate","12,161,723","8,620,579","11%","8%","1200%","0.1%","81%","98%"
"Turkmenistan","Upper middle income","Polaris Estimate","6,250,438","4,002,651","3%","4%","2200%","0.4%","99%","99%"
"Tuvalu","Upper middle income","Polaris Estimate","11,069","0","6%","<1%","4000%","1.4%","98%","92%"
"Uganda","Low income","Verified","44,404,611","20,842,985","28%","2%","300%","0.3%","<1%","93%"
"Ukraine","Lower middle income","Verified","43,909,666","35,951,612","8%","2%","300%","0.3%","60%","77%"
"United Arab Emirates","High income","Verified","9,287,289","7,725,867","2%","<1%","500%","0.0%","91%","98%"
"United Kingdom","High income","Verified","67,059,474","52,904,960","19%","30%","100%","0.1%","<1%","93%"
"United States","High income","Verified","335,942,003","260,590,365","19%","29%","200%","0.0%","67%","91%"
"Uzbekistan","Lower middle income","Verified","33,526,656","22,009,665","19%","6%","400%","0.1%","99%","96%"
"Vanuatu","Lower middle income","Verified","311,685","169,546","18%","<1%","3600%","1.5%","82%","90%"
"Venezuela","-","Polaris Estimate","28,490,453","18,775,264","8%","3%","300%","0.2%","52%","64%"
"Vietnam","Lower middle income","Verified","96,648,685","70,492,088","34%","3%","2600%","0.9%","79%","89%"
"Yemen","Low income","Polaris Estimate","32,284,046","17,165,662","<1%","8%","800%","0.5%","<1%","88%"
"Zambia","Low income","Polaris Estimate","18,927,715","9,367,216","7%","2%","200%","0.4%","<1%","88%"
"Zimbabwe","Lower middle income","Polaris Estimate","15,669,666","8,139,715","<1%","<1%","1800%","1.2%","<1%","90%"
