"Region","World Bank Classification","HBV Status","Total Population (2020)","Adult Population (2020)","Prevalent cases","Prevalence","Diagnosed","Treated","Annual deaths","Birth Dose Coverage","3+ Dose Coverage","HBIG Coverage","Tx of Pregnant Women"
"Israel","High income","Verified","8,757,489","5,866,353","141,925","2%","14%","5%","580","95%","95%","18%","0%"
"Italy","High income","Verified","59,500,579","50,143,521","332,156","1%","29%","46%","1,200","[object Object]","93%","72%","10%"
"Jamaica","Upper middle income","Verified","2,820,436","2,094,605","142,732","5%","0%","0%","360","0%","98%","0%","0%"
"Japan","High income","Verified","125,244,761","106,975,887","718,804","1%","72%","32%","7,100","[object Object]","[object Object]","97%","0%"
"Jordan","Upper middle income","Verified","10,928,721","6,677,790","230,479","2%","1%","2%","540","3%","98%","78%","0%"
"Kazakhstan","Upper middle income","Verified","18,979,243","12,652,853","479,034","3%","12%","0%","1,300","95%","83%","0%","0%"
"Kenya","Lower middle income","Verified","51,985,780","28,130,748","558,677","1%","0%","0%","1,100","0%","78%","0%","0%"
"Kiribati","Lower middle income","Verified","126,463","74,075","10,410","9%","1%","0%","40","79%","81%","0%","0%"
"Korea, Democratic People's Republic of","Low income","Verified","25,867,467","19,911,399","1,450,000","6%","8%","0%","4,800","98%","96%","0%","0%"
"Korea, Republic of","High income","Verified","51,844,690","44,136,393","1,243,739","2%","83%","33%","10,300","92%","98%","90%","10%"
"Kosovo","Upper middle income","Polaris Estimate","1,670,698","1,200,208","33,200","2%","25%","[object Object]","150","99%","99%","[object Object]","0%"
"Kuwait","High income","Verified","4,360,444","3,299,807","73,486","2%","8%","0%","350","92%","99%","0%","0%"
"Kyrgyzstan","Lower middle income","Verified","6,424,874","3,903,461","374,298","6%","13%","1%","1,100","97%","96%","0%","0%"
"Laos","Lower middle income","Verified","7,319,399","4,590,942","250,723","4%","2%","0%","430","53%","82%","0%","0%"
"Lebanon","Lower middle income","Verified","5,662,923","3,783,180","70,141","1%","4%","6%","250","99%","90%","14%","25%"
"Lesotho","Lower middle income","Extrapolated","2,254,100","1,344,382","246,000","12%","1%","0%","430","0%","67%","0%","0%"
"Liberia","Low income","Polaris Estimate","5,087,584","2,629,974","465,000","10%","1%","0%","550","0%","92%","0%","0%"
"Libya","Upper middle income","Polaris Estimate","6,653,942","4,317,637","94,425","2%","16%","2%","370","0%","97%","0%","0%"
"Lithuania","High income","Extrapolated","2,820,267","2,318,928","-","[object Object]","[object Object]","[object Object]","-","[object Object]","[object Object]","[object Object]","[object Object]"
"Madagascar","Low income","Polaris Estimate","28,225,177","15,161,988","1,357,087","6%","0%","0%","1,500","0%","93%","0%","0%"
"Malawi","Low income","Polaris Estimate","19,377,061","9,493,903","585,474","3%","0%","0%","1,100","0%","84%","0%","0%"
"Malaysia","Upper middle income","Verified","33,199,993","23,861,690","291,065","1%","9%","5%","3,300","88%","98%","43%","0%"
"Mali","Low income","Polaris Estimate","21,224,040","9,659,539","935,765","5%","13%","0%","2,500","0%","73%","0%","0%"
"Malta","High income","Extrapolated","515,358","434,644","-","[object Object]","[object Object]","[object Object]","-","[object Object]","[object Object]","[object Object]","[object Object]"
"Marshall Islands","Upper middle income","Polaris Estimate","43,413","0","2,100","4%","35%","[object Object]","10","89%","73%","[object Object]","0%"
"Mauritania","Lower middle income","Polaris Estimate","4,498,604","2,290,249","400,314","9%","1%","0%","730","0%","86%","0%","0%"
"Mexico","Upper middle income","Verified","125,998,302","87,519,062","137,163","0%","9%","1%","430","98%","93%","0%","0%"
"Micronesia, Federated States of","Lower middle income","Polaris Estimate","112,106","70,042","8,200","8%","75%","0%","30","80%","76%","30%","50%"
"Moldova","Upper middle income","Polaris Estimate","3,084,847","2,378,099","271,000","7%","9%","0%","1,600","99%","91%","0%","0%"
"Mongolia","Lower middle income","Verified","3,294,335","2,102,054","125,599","4%","13%","3%","540","98%","99%","0%","0%"
"Morocco","Lower middle income","Verified","36,688,772","24,945,506","388,286","1%","39%","16%","1,100","34%","99%","0%","0%"
"Mozambique","Low income","Verified","31,178,239","15,398,216","2,161,071","8%","0%","0%","1,800","0%","96%","0%","0%"
"Myanmar","Lower middle income","Verified","53,423,198","37,226,310","4,376,047","8%","0%","0%","7,900","1%","90%","0%","0%"
"Nepal","Lower middle income","Verified","29,348,627","18,585,170","468,000","2%","4%","0%","620","0%","87%","0%","0%"
"Netherlands","High income","Verified","17,434,557","14,108,427","47,088","0%","48%","46%","180","[object Object]","93%","10%","50%"
"New Zealand","High income","Verified","5,061,133","3,908,158","95,160","2%","70%","28%","540","2%","92%","96%","96%"
"Nicaragua","Lower middle income","Polaris Estimate","6,755,895","4,311,289","50,978","1%","6%","2%","160","0%","99%","0%","0%"
"Niger","Low income","Polaris Estimate","24,333,639","10,785,425","2,096,000","10%","1%","0%","2,200","0%","80%","0%","0%"
"Nigeria","Lower middle income","Verified","208,327,405","103,880,784","20,766,892","11%","0%","0%","26,700","13%","45%","0%","0%"
"North Macedonia","Upper middle income","Extrapolated","2,111,072","1,696,440","-","[object Object]","[object Object]","[object Object]","-","[object Object]","[object Object]","[object Object]","[object Object]"
"Norway","High income","Polaris Estimate","5,379,839","4,264,591","16,756","0%","19%","5%","40","0%","0%","0%","0%"
"Oman","High income","Verified","4,543,399","3,226,233","110,618","3%","6%","3%","110","99%","99%","20%","0%"
"Pakistan","Lower middle income","Verified","227,196,741","127,575,159","3,962,385","2%","3%","2%","12,400","[object Object]","75%","2%","0%"
"Palestine","Lower middle income","Polaris Estimate","5,019,401","2,715,436","70,100","2%","30%","0%","200","99%","99%","0%","0%"
"Panama","High income","Extrapolated","4,294,396","2,934,168","13,700","0%","25%","2%","40","84%","86%","0%","0%"
"Papua New Guinea","Lower middle income","Polaris Estimate","9,749,640","5,738,193","535,085","7%","80%","0%","2,200","35%","61%","4%","0%"
"Paraguay","Upper middle income","Extrapolated","6,618,695","4,325,789","35,900","1%","11%","1%","90","[object Object]","80%","0%","0%"
"Peru","Upper middle income","Verified","33,304,756","22,698,846","91,558","0%","14%","1%","190","79%","89%","27%","0%"
"Philippines","Lower middle income","Verified","112,190,977","71,026,728","10,142,596","10%","3%","0%","23,600","59%","91%","0%","0%"
"Poland","High income","Verified","38,428,366","31,459,542","358,629","1%","56%","5%","1,000","93%","95%","85%","0%"
"Portugal","High income","Verified","10,298,192","8,588,826","125,029","1%","6%","5%","710","97%","98%","0%","0%"
"Qatar","High income","Verified","2,760,385","2,284,933","31,232","1%","18%","11%","70","96%","98%","94%","57%"
"Romania","High income","Verified","19,442,038","15,711,479","679,072","3%","10%","0%","2,900","93%","90%","0%","0%"
"Russia","Upper middle income","Verified","145,617,329","115,437,729","1,946,808","1%","28%","1%","11,500","97%","97%","0%","0%"
"Rwanda","Low income","Polaris Estimate","13,146,362","7,077,315","399,986","3%","0%","0%","790","0%","98%","0%","0%"
"São Tomé and Príncipe","Lower middle income","Extrapolated","218,641","114,729","21,800","11%","2%","2%","30","12%","96%","0%","0%"
"Samoa","Lower middle income","Polaris Estimate","214,929","120,714","9,600","5%","1%","0%","50","91%","90%","0%","0%"
"Saudi Arabia","High income","Verified","35,997,107","24,976,607","531,998","2%","6%","0%","1,700","98%","98%","62%","0%"
"Senegal","Lower middle income","Polaris Estimate","16,436,120","8,438,851","1,249,203","8%","4%","0%","2,000","58%","93%","0%","0%"
"Serbia","Upper middle income","Extrapolated","7,358,005","6,092,008","-","[object Object]","[object Object]","[object Object]","-","[object Object]","[object Object]","[object Object]","[object Object]"
"Sierra Leone","Low income","Polaris Estimate","8,233,970","4,403,714","774,000","11%","1%","0%","930","0%","84%","0%","0%"
"Singapore","High income","Polaris Estimate","5,909,869","5,041,644","134,294","2%","1%","2%","810","91%","96%","87%","0%"
"Slovakia","High income","Verified","5,456,681","4,434,144","86,144","2%","7%","3%","230","2%","96%","48%","0%"
"Slovenia","High income","Verified","2,117,641","1,738,949","20,545","1%","5%","17%","30","[object Object]","[object Object]","90%","50%"
"Solomon Islands","Lower middle income","Polaris Estimate","691,191","374,390","61,900","10%","65%","0%","200","67%","94%","0%","0%"
"Somalia","Low income","Polaris Estimate","16,537,016","7,594,865","952,000","7%","5%","0%","1,100","0%","64%","0%","0%"
"South Africa","Upper middle income","Verified","58,801,927","39,094,388","3,002,000","5%","15%","0%","8,900","0%","84%","0%","0%"
"South Sudan","Low income","Extrapolated","10,606,227","4,982,730","663,000","6%","5%","0%","760","0%","45%","0%","0%"
"Spain","High income","Verified","47,363,807","39,079,800","287,354","1%","15%","19%","1,100","98%","97%","13%","65%"
"Sri Lanka","Lower middle income","Verified","21,715,079","15,538,710","507,000","2%","5%","1%","1,600","0%","99%","0%","0%"
"Sudan","Low income","Polaris Estimate","44,440,486","23,383,547","2,084,051","5%","5%","0%","3,000","0%","93%","0%","0%"
"Suriname","Upper middle income","Verified","607,065","411,433","11,900","2%","10%","1%","30","80%","91%","36%","0%"
"Sweden","High income","Verified","10,368,969","8,178,450","19,401","0%","86%","30%","60","[object Object]","67%","90%","96%"
"Switzerland","High income","Verified","8,638,613","7,089,252","43,763","1%","66%","20%","130","[object Object]","53%","90%","0%"
"Syria","Low income","Polaris Estimate","20,772,595","12,014,566","1,053,648","6%","5%","0%","2,300","71%","65%","0%","0%"
"Türkiye","Upper middle income","Verified","84,135,428","60,448,118","2,091,066","3%","5%","14%","5,900","99%","98%","49%","0%"
"Taiwan","High income","Verified","23,821,464","20,098,295","2,185,090","9%","64%","28%","10,500","93%","98%","34%","0%"
"Tajikistan","Lower middle income","Verified","9,543,207","5,524,869","585,887","7%","3%","0%","1,400","92%","97%","0%","0%"
"Tanzania","Lower middle income","Verified","61,704,518","30,437,189","2,261,258","4%","0%","0%","2,100","0%","97%","0%","0%"
"Thailand","Upper middle income","Verified","71,475,664","57,520,951","2,412,021","4%","5%","1%","12,800","99%","99%","49%","0%"
"Timor-Leste","Lower middle income","Extrapolated","1,299,995","737,734","108,000","9%","5%","0%","200","42%","95%","0%","0%"
"Togo","Low income","Polaris Estimate","8,442,580","4,481,651","822,000","11%","1%","0%","970","0%","89%","0%","0%"
"Tonga","Upper middle income","Extrapolated","105,254","61,442","9,800","10%","20%","0%","40","91%","96%","0%","0%"
"Trinidad and Tobago","High income","Extrapolated","1,518,147","1,163,441","30,100","2%","4%","4%","110","0%","97%","0%","0%"
"Tunisia","Lower middle income","Polaris Estimate","12,161,723","8,620,579","444,379","4%","13%","2%","1,300","85%","98%","0%","0%"
"Turkmenistan","Upper middle income","Polaris Estimate","6,250,438","4,002,651","537,811","10%","3%","0%","1,200","99%","98%","0%","0%"
"Tuvalu","Upper middle income","Polaris Estimate","11,069","0","1,200","11%","85%","[object Object]","5","99%","94%","[object Object]","0%"
"Uganda","Low income","Verified","44,404,611","20,842,985","2,290,581","6%","7%","1%","1,400","0%","93%","0%","0%"
"Ukraine","Lower middle income","Verified","43,909,666","35,951,612","531,000","1%","7%","1%","1,400","37%","26%","0%","0%"
"United Arab Emirates","High income","Verified","9,287,289","7,725,867","95,325","1%","3%","0%","370","99%","99%","0%","0%"
"United Kingdom","High income","Verified","67,059,474","52,904,960","440,565","1%","19%","25%","1,100","[object Object]","[object Object]","11%","75%"
"United States","High income","Verified","335,942,003","260,590,365","875,435","0%","35%","31%","3,100","64%","93%","50%","20%"
"Uzbekistan","Lower middle income","Verified","33,526,656","22,009,665","2,514,251","8%","10%","2%","2,800","99%","99%","0%","0%"
"Vanuatu","Lower middle income","Verified","311,685","169,546","17,800","6%","0%","0%","60","71%","81%","0%","0%"
"Venezuela","-","Polaris Estimate","28,490,453","18,775,264","363,656","1%","8%","0%","850","56%","84%","0%","0%"
"Vietnam","Lower middle income","Verified","96,648,685","70,492,088","7,763,626","8%","17%","1%","25,400","68%","96%","0%","0%"
"Yemen","Low income","Polaris Estimate","32,284,046","17,165,662","882,355","3%","0%","0%","2,400","0%","86%","0%","0%"
"Zambia","Low income","Polaris Estimate","18,927,715","9,367,216","539,974","3%","0%","0%","810","0%","99%","0%","0%"
"Zimbabwe","Lower middle income","Polaris Estimate","15,669,666","8,139,715","1,376,715","9%","1%","0%","2,600","0%","90%","0%","0%"
